id,line_position
74245,1.1 & 2.1
55406,1.0
50382,10+11+12
53845,Pos 1.0
47883,0.5b
52422,Pos. 4.0
51909,Pos. 76
54715,2.0
54790,1.0
78353,2.1
66265,8.0
47321,2.1
56876,Pos 1.0
57831,5.5
46788,1.0
43876,7.0
79825,Pos.6.0
33271,9.0
39311,8.0
65056,1.0 / 2.0
42061,1.0 - 4.0
75919,30.0-30.4
51612,6.3
50713,1.0
36451,2.0
69301,2
46758,4.0
75732,Pos. 1
54814,1.0
58834,2
34727,Pos.1.0
71852,4.0
77889,Pos. 4.0
42994,7.0
41518,2.0
41914,Pos. 2.0
54486,Pos.1.0
62490,14.0
114501,30.4
37741,2.0
46011,2.0
78360,Pos.1
52379,2.0
121828,1.0
38240,1.0
38965,3.0
72300,2.0
72987,3.0
56969,2b
45712,1
64840,2.0
72302,4.0
56975,6a
40929,1.0
41093,Pos. 2.0
38156,4.1
65164,90
67742,Pos 8.0
52335,1.0
56857,5
55408,3.0
58138,3.0
42974,3
47075,Pos.2.0
41423,Pos. 3.0
32149,1.0
69723,6.0
59865,11
58876,9.2
56978,7b
37897,1.0
79415,1.0 + 2.0
56957,1.0
53905,2.0
74595,1.0
71683,30.0 - 30.12
42868,2.0
40313,2.0
45992,1.0
59855,2.1
54033,Pos 40 & 50
56292,1
66268,11.0
64165,Pos.4.0
42108,1.0
48414,2.0
74317,9.0
53846,Pos 2.0
51154,2.0
47208,1.0
58877,11.0
57631,1.0
63269,1.2
69518,7.5
78384,Pos. 4.0
73967,1.0
45710,2.0
74309,1.0
41906,Pos.2.0
57885,1.0
57016,3.0
71758,80 - 82
71677,10.0
79711,Pos. 11.0
63032,11
52686,6.0
49894,2
78702,"2.0, 3.0 & 4.0"
78134,5.0
78366,Pos. 3.1
52378,1.0
53181,Pos 20.0
64163,Pos.3.0
75199,20_02
79472,3.0
58873,8.0
52027,Pos 1.0
58912,3.0
51631,4.1
55124,4.0
49272,52.0
43293,Pos.1.0
49688,4.0
75470,3.0
56947,3.0
51849,2.0
33568,1.0
52423,Pos. 5.0
58827,3.0
77903,4.1
63293,1.0
62378,1.2
73021,2
72096,1
78696,1.0
51037,2
33571,5.0
49662,5.0
48102,Façade Nord
74313,5.0
62684,2.1
60044,4.0
68213,100-103
69408,1.2
79968,Pos 1
69742,1.2
66270,13.0
49513,2
55122,1.0 + 2.0
51609,4.0
68211,142
64121,1.0
48391,4.0
47101,Pos.1.0
54201,2
57895,1.0
74530,130.1
66103,1.0
60729,2.0
71541,4.0
78700,1.0
63247,11.5
43820,12.0
54739,1
32286,1.0
71954,10.1
78536,1
59070,5.0
56972,4b
62489,13.0
66665,position 9.0
69304,5
69532,18.0
67756,Pos 2.0
70068,2.1 - 2.2
38155,4.0
57353,10.0
77201,65
72709,12.0
65825,3.0
46012,3.0
45562,1.0
47323,4.0
31856,2.0
76807,Pos. 1.0
51728,5.0
42869,2.1
49275,16.0
72304,6.0
70074,2.0
64868,1.0
61962,10.0
38794,080.0
40670,1.0
72823,Pos. 30.0
79433,3.0
78352,Pos. 2
55649,1.0
58140,5.0
65972,Pos. 2.0
39297,1.0
35663,Pos.1.0
58145,10.0
75210,2.0
34402,Pos.1.0
42987,Pos. 3.0
63253,8.0
67744,Pos 10
76347,1.0
79056,Pos. 5
55414,2
72832,Pos. 1.0
52314,2.0
54176,3.0
78269,1
78361,Pos. 1.1
46013,4.0
38827,1.1
