id,xx_nbre_tablettes
345674,Copy 345674
347293,Copy 347293
347869,Copy 347869
342237,Copy 337127
347389,Copy 347389
346476,Copy 346450
346224,Copy 346224
345952,Copy 345952
340446,Copy 340446
344103,Copy 344103
345951,Copy 345951
343778,Copy 343778
347859,Copy 347859
345918,Copy 345918
343490,Copy 343490
348544,Copy 348544
345468,Copy 345468
344936,Copy 344936
345469,Copy 345469
337603,Copy 337603
344934,Copy 344934
345471,Copy 345471
341382,Copy 341382
336865,Copy 336865
344808,Copy 344808
344859,Copy 344859
344816,Copy 344816
344817,Copy 344817
344813,Copy 344813
344858,Copy 344858
345516,Copy 345516
344316,Copy 344316
346015,Copy 346015
345036,Copy 345036
345763,Copy 345763
346510,Copy 346510
345817,Copy 345817
340345,Copy 340345
343727,Copy 343727
346298,Copy 346298
346301,Copy 346301
346300,Copy 346300
348145,Copy 348145
346498,Copy 346498
345825,Copy 345825
346632,Copy 346632
343858,Copy 343858
347871,Copy 347871
345766,Copy 345766
347609,Copy 347609
343763,Copy 343763
343764,Copy 343764
343851,Copy 343851
347321,Copy 347321
347115,Copy 347115
346479,Copy 346467
344970,Copy 344970
346039,Copy 346039
345517,Copy 345517
347205,Copy 347205
347023,Copy 347023
346450,Copy 346450
346447,Copy 346447
339790,Copy 339790
340954,Copy 340954
347319,Copy 347319
340948,Copy 340948
347206,Copy 347206
347203,Copy 347203
343951,Copy 343951
346919,Copy 346919
347207,Copy 347207
337199,Copy 337199
347331,Copy 347331
347404,Copy 347404
343952,Copy 343952
347332,Copy 347332
347036,Copy 347036
347343,Copy 347343
341193,Copy 341193
347663,Copy 347663
347667,Copy 347667
346410,Copy 346410
347353,Copy 347353
346448,Copy 346448
342965,Copy 342965
342879,Copy 342879
347077,Copy 347077
347375,Copy 347375
339791,Copy 339791
347072,Copy 347072
342234,Copy 337118
347116,Copy 347116
347114,Copy 347114
347069,Copy 347069
347409,Copy 347409
346050,Copy 346050
342410,Copy 342410
347454,Copy 347454
344476,Copy 344476
349162,Copy 349162
343857,Copy 343857
347461,Copy 347461
347462,Copy 347462
347764,Copy 347764
346582,Copy 346582
347875,Copy 347875
346583,Copy 346583
347706,Copy 347706
344590,Copy 344590
348155,Copy 348155
349167,Copy 349167
343005,Copy 343005
343052,Copy 343052
343057,Copy 343057
346411,Copy 346411
348162,Copy 348162
346412,Copy 346412
348504,Copy 348504
348166,Copy 348166
346406,Copy 346406
346394,Copy 346394
347748,Copy 347748
341213,Copy 341213
341835,Copy 341835
341774,Copy 341774
348197,Copy 348197
341770,Copy 341770
348241,Copy 348241
343411,Copy 343411
347981,Copy 347981
