id,line_position
51432,1.0
51435,3
51437,1
51439,Pos.1.0
51450,2
51469,5
51471,4.1
51479,2.0
41980,1
62334,3.5
71604,1
71610,1.1
71612,3.1
71614,1.1
71615,2.1
71616,1
71617,1.1
71618,2 a & b
71619,2.1 a & b
41999,1.0
51818,Pos.1.0
51822,1
51823,1
51824,2
51825,3
51826,4
51828,1
51829,1
51830,2
51831,3
51835,1.0 + 2.0
51837,Pos.1.0
62347,1.0
71862,2.1
71863,6.0
71867,1.0
31946,8.0
51858,10
51859,20
51860,30
51861,40
51862,50
51863,60
51864,70
51865,80
51874,13
51875,10+11+12
51876,14
51881,1.0
51912,1.0
51920,Pos. 1.0
51921,Pos. 2.0
51922,Pos. 3.0
51923,Pos. 4.0
71894,1
71895,1
71896,2
71898,17.03
72007,17.03
32054,2
32055,3
42065,1.0
42016,2
42055,2.0
42056,3.0
42057,4.0
42058,5.0
42059,6.0
42060,8.0
42061,9.0
42062,10.0
42063,11.0
42064,12.0
32225,2.0
51951,1.0
51952,2.0
51958,1.0
51959,3.0
51960,1.0
51967,1.0
51991,2.2
51992,7.2
42161,1.0
42179,2.0
42072,1.0
42112,11.0
42113,12.0
51996,3
52014,1.0
62366,3.0
62377,1.0
62385,1.0
62387,1.0 + 2.0
62389,230
62390,120
62397,1.0
62398,4.0
62399,7.0
62400,2.0
52109,7.5
52111,8.0
52142,1.1
52143,2.1
52235,7.0
62404,1.0
62405,2.0
62406,3.0
62407,4.0
62429,3.0
62443,1.1
62445,1.2
62450,1.0
62459,2.5
62461,7.3
62462,11.5
62467,Pos 1.0
32350,2.0
32410,5.0
42196,3
42197,Pos. 1.0
42198,Pos. 2.0
72069,2
72102,6.0
72103,2.0
72104,2.1
72105,4.1
72106,4.1
72108,2.0
72115,2.0
72116,3.0
72119,Pos. 1.0 + 1.5
72120,1.0
72244,3.0
72245,5.0
72284,3.0
52290,Pos.7.0
52291,Pos.8.0
52292,Pos.9.0
52323,1.1
52324,1.2
52325,1.3
72326,2.1
42301,Pos. 1.0
72572,20_02
72573,20_05
72587,Pos. 110
72588,Pos. 111
72589,Pos.112
72590,Pos. 113
72594,1.0
72615,31.0
52459,3.0
52460,2.0
62501,4.0 & 6.0
62502,17.0 & 22.0
62513,2.2
62514,4.2
62515,11.2
62525,6.0
62527,3.0
42302,Pos. 2.0
42303,Pos. 3.0
42308,1.0 / 2.0
42309,6.0 / 7.0
32518,1.0
32519,Pos. 3.0
32522,Pos. 1.0
32523,Pos. 1.5
32575,Pos.8.0
42329,2.0
42330,1.0
42331,1.0
42332,10.0
42333,1.0
42334,6.0
42335,7.0
42337,1.0
42338,1.0
42342,2.0
42343,1.0
72733,1.0
62552,1.1
62553,2.1
62557,2.3
62558,11.3
62571,2.1
62572,5.1
62573,8.1
62574,11.1
62578,3.0
62579,3.0
62580,4.1
62581,2.1
52482,Pos 4.0
52497,2.0
52498,2.1
52513,5.5
62612,1.0
62613,2.0
62614,3.0
62615,3.1
62622,Pos. 1.0
62627,Pos 2.0
62631,Pos. 12.0
42380,1.0
42381,2.0
42382,2.3
42383,2.4
42384,2.6
42385,3.0
42386,2.5
52518,3.0
52520,1.0
52523,2.0
62634,Pos 5.0
62638,Pos 8.0
52580,1.0
52588,1
52593,1.0
52607,8.0
52608,9.0
52611,1.0
52612,1.1
32699,Pos.1.0
32767,Pos.2.0
32800,1.0
32803,1.0
72881,Pos. 9.0
72883,1.0
72884,2.0
62726,5.0 + 5.5
62732,2.4
62755,3.0
62820,4.0
62827,1.1
62829,7.1
62830,10.1
62832,7.0
62833,10
62836,4.0
62640,Pos 7.0
62642,Pos 6.0
62644,Pos 4.0
62647,Pos 9.0
62650,Pos 10.0
62653,Pos 11.0
62657,1.0
62659,1.0
62672,7.0
42479,3
62928,position 9.0
62929,position 6.0
32815,1.0
32816,3.0
32817,9.0
32818,11.0
32823,1.0
32824,2.0
32885,Pos. 1.0
32886,Pos 30.0
32887,Pos 40.0
72957,Pos.1
72958,Pos. 2
72959,Pos.3
72961,1.0
72963,4.5
72971,1.0
62930,position 12
62931,1.0 - 3.0
62937,1.0
42417,1.0
42464,8.0
42478,2
52746,3.0
42571,9.9
62837,5.0
62838,11.0
62840,12.0
62854,7.0
62856,4.0
62864,6.0
62878,1.0 / 2.0
62927,position 3.0
72993,5.0
73007,1.0
73011,Pos. 2
73049,Pos. 1
73050,Pos. 2
52770,1.0
52771,2.0
52772,3.0
52773,4.0
52774,6.0
62981,1.0
63031,1.0
63062,1.0
63063,1.1
63064,2.0
63065,3.0
63066,4.0
63067,5.0
63068,10.0
52820,2.0
52838,3.0
52844,10.0
52846,9.0
52849,7.0
52851,6.0
73101,12.0
73102,12.0
73164,1.0
73245,Pos. 1
33084,4.0
63216,4.0
42595,1.0
42602,1
42603,2
73270,Pos. 1.1
73274,Pos 1.2
73283,Pos. 2.1
73311,1.0 + 2.0
63604,Pos. 4.0
63634,1.0
63635,2.0
52864,4.0
73366,13.0
73367,12.0
63677,4.0
33139,2.0
33140,1.0
33142,1.0
33143,2.0
33144,4.0
33145,5.0
33146,6.0
33147,7.0
33148,10.0
33149,9.0
33161,2.0
33162,3.0
63695,1.0 + 2.0
42765,3.0
42766,1.0
42769,1.0
42770,1.0
42774,80
42782,1.2
42783,2.1
64025,Pos. 1.0
52932,09
52933,03
52934,5.0
52942,4.0
63793,Pos. 1.0 & 2.0
63794,Pos. 4.0
63936,1.0
33235,2.0
73493,300 / 301
73494,101-110
73514,2.0
33308,3.0
33322,3.0
33344,1.0
33399,3.0
33428,Pos 1.0
33429,Pos 10.0
73563,2.0
73567,3.0
73587,Pos 2
73588,1
52977,1.0
33449,Pos.5.0
42959,4.0
42976,2.0
42996,Pos.3.0
43007,Pos. 2.0
43008,1.0
43009,3.1
43010,1.0
64190,9.0
64192,10.0
64194,12.0
64195,14.0
64196,15.0
64203,Pos. 1.0
64211,2.0
64212,1.1
73789,160
73803,2.0
73804,17.0
73834,1.0 + 2.0
73876,17.0
42858,1.0
42875,165
43044,2.4
43046,11.0
43047,11.0
43048,11.0
43049,01
43195,4.0
64256,1
64257,8.0
73912,12.1
73913,5.0
73914,9.1
73915,17.0
73916,1.0
74017,Pos. 4.0
43210,Pos.1.0
43212,Pos.2.0
43214,Pos.1.0
43222,3
43235,2
43243,Pos.1.0
64308,30
64309,30
64310,30
64312,40
64313,40
64314,42
64315,42
64316,42
64317,42
64318,42
64319,50
64322,2.0
64330,1.00
74043,5.0
74059,4.0
74060,"5.0, 5.1, 5.2"
